id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img151.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img151.jpg?raw=true,0,21 ,0,0,0,0,CM					
2,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img152.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img152.jpg?raw=true,0,21 ,0,0,0,0,CM					
3,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img153.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img153.jpg?raw=true,0,21 ,0,0,0,0,CM					
4,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img154.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img154.jpg?raw=true,0,21 ,0,0,0,0,CM					
5,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img155.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img155.jpg?raw=true,0,21 ,0,0,0,0,CM					
6,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img156.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img156.jpg?raw=true,0,21 ,0,0,0,0,CM					
7,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img157.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img157.jpg?raw=true,0,21 ,0,0,0,0,CM					
8,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img158.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img158.jpg?raw=true,0,21 ,0,0,0,0,CM					
9,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img159.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img159.jpg?raw=true,0,21 ,0,0,0,0,CM					
10,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img160.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img160.jpg?raw=true,0,21 ,0,0,0,0,CM					
11,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img161.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img161.jpg?raw=true,0,19 ,0,0,0,0,CM					
12,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img162.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img162.jpg?raw=true,0,19 ,0,0,0,0,CM					
13,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img163.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img163.jpg?raw=true,0,19 ,0,0,0,0,CM					
14,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img164.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img164.jpg?raw=true,0,19 ,0,0,0,0,CM					
15,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img165.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img165.jpg?raw=true,0,19 ,0,0,0,0,CM					
16,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img166.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img166.jpg?raw=true,0,18 ,0,0,0,0,CM					
17,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img167.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img167.jpg?raw=true,0,18 ,0,0,0,0,CM					
18,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img168.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img168.jpg?raw=true,0,18 ,0,0,0,0,CM					
19,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img169.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img169.jpg?raw=true,0,18 ,0,0,0,0,CM					
20,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img170.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img170.jpg?raw=true,0,18 ,0,0,0,0,CM					
21,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img171.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img171.jpg?raw=true,0,18 ,0,0,0,0,CM					
22,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img172.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img172.jpg?raw=true,0,18 ,0,0,0,0,CM					
23,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img173.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img173.jpg?raw=true,0,18 ,0,0,0,0,CM					
24,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img174.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img174.jpg?raw=true,0,18 ,0,0,0,0,CM					
25,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img175.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img175.jpg?raw=true,0,18 ,0,0,0,0,CM					
26,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img182.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img182.jpg?raw=true,0,20 ,0,0,0,0,CM					
27,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img183.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img183.jpg?raw=true,0,20 ,0,0,0,0,CM					
28,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img184.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img184.jpg?raw=true,0,24 ,0,0,0,0,CM					
29,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img185.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img185.jpg?raw=true,0,24 ,0,0,0,0,CM					
30,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img186.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img186.jpg?raw=true,0,24 ,0,0,0,0,CM					
31,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img187.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img187.jpg?raw=true,0,23 ,0,0,0,0,CM					
32,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img188.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img188.jpg?raw=true,0,23 ,0,0,0,0,CM					
33,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img189.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img189.jpg?raw=true,0,23 ,0,0,0,0,CM					
34,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img190.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img190.jpg?raw=true,0,23 ,0,0,0,0,CM					
45,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img191.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img191.jpg?raw=true,0,23 ,0,0,0,0,CM					
36,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img192.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img192.jpg?raw=true,0,23 ,0,0,0,0,CM					
37,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img193.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img193.jpg?raw=true,0,23 ,0,0,0,0,CM					
38,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img194.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img194.jpg?raw=true,0,23 ,0,0,0,0,CM					
39,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img197.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img197.jpg?raw=true,0,20 ,0,0,0,0,CM					
40,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img198.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img198.jpg?raw=true,0,20 ,0,0,0,0,CM					
41,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img199.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img199.jpg?raw=true,0,20 ,0,0,0,0,CM					
42,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img200.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/22_Christmas%20face10/img200.jpg?raw=true,0,20 ,0,0,0,0,CM					
43,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/23_Christmas%20face11/img201.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/23_Christmas%20face11/img201.jpg?raw=true,0,21 ,0,0,0,0,CM					
44,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/23_Christmas%20face11/img202.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/23_Christmas%20face11/img202.jpg?raw=true,0,21 ,0,0,0,0,CM					
45,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/23_Christmas%20face11/img203.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/23_Christmas%20face11/img203.jpg?raw=true,0,21 ,0,0,0,0,CM					
46,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/23_Christmas%20face11/img204.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/23_Christmas%20face11/img204.jpg?raw=true,0,23 ,0,0,0,0,CM					
47,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/23_Christmas%20face11/img205.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/23_Christmas%20face11/img205.jpg?raw=true,0,2	 ,0,0,0,0,CM				
48,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/23_Christmas%20face11/img206.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/23_Christmas%20face11/img206.jpg?raw=true,0,2	 ,0,0,0,0,CM				
49,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/23_Christmas%20face11/img207.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/23_Christmas%20face11/img207.jpg?raw=true,0,2	 ,0,0,0,0,CM				
