id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb1.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb1.jpg?raw=true,0,2,0,0,0,0,CM
2,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb10.jpg?raw=true,0,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb10.jpg?raw=true,2,0,0,0,0,CM
3,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb100.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb100.jpg?raw=true,0,6,0,0,0,0,CM
4,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb101.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb101.jpg?raw=true,0,6,0,0,0,0,CM
5,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb102.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb102.jpg?raw=true,0,6,0,0,0,0,CM
6,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb103.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb103.jpg?raw=true,0,6,0,0,0,0,CM
7,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb104.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb104.jpg?raw=true,0,6,0,0,0,0,CM
8,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb105.jpg?raw=true,0,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb105.jpg?raw=true,3,0,0,0,0,CM
9,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb106.jpg?raw=true,0,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb106.jpg?raw=true,3,0,0,0,0,CM
10,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb107.jpg?raw=true,0,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb107.jpg?raw=true,3,0,0,0,0,CM
11,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb108.jpg?raw=true,0,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb108.jpg?raw=true,3,0,0,0,0,CM
12,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb109.jpg?raw=true,0,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb109.jpg?raw=true,3,0,0,0,0,CM
13,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb11.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb11.jpg?raw=true,0,3,0,0,0,0,CM
14,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb110.jpg?raw=true,0,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb110.jpg?raw=true,3,0,0,0,0,CM
15,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb111.jpg?raw=true,0,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb111.jpg?raw=true,3,0,0,0,0,CM
16,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb112.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb112.jpg?raw=true,0,5,0,0,0,0,CM
17,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb113.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb113.jpg?raw=true,0,5,0,0,0,0,CM
18,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb114.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb114.jpg?raw=true,0,5,0,0,0,0,CM
19,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb115.jpg?raw=true,0,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb115.jpg?raw=true,2,0,0,0,0,CM
20,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb116.jpg?raw=true,0,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb116.jpg?raw=true,2,0,0,0,0,CM
21,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb117.jpg?raw=true,0,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb117.jpg?raw=true,2,0,0,0,0,CM
22,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb118.jpg?raw=true,0,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb118.jpg?raw=true,2,0,0,0,0,CM
23,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb119.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb119.jpg?raw=true,0,3,0,0,0,0,CM
24,DDC,DDC,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb12.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/babyFace/bb12.jpg?raw=true,0,2,0,0,0,0,CM
