id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,DDC,Christmas Day,https://raw.githubusercontent.com/Tozivn/futurelove/main/19_Christmas%20%20face7/img31.jpg,https://raw.githubusercontent.com/Tozivn/futurelove/main/19_Christmas%20%20face7/img31.jpg,0,27,0,0,0,0,CM 
2,DDC,Christmas Day,https://raw.githubusercontent.com/Tozivn/futurelove/main/19_Christmas%20%20face7/img32.jpg,https://raw.githubusercontent.com/Tozivn/futurelove/main/19_Christmas%20%20face7/img32.jpg,0,24,0,0,0,0,CM	
3,DDC,Christmas Day,https://raw.githubusercontent.com/Tozivn/futurelove/main/19_Christmas%20%20face7/img33.jpg,https://raw.githubusercontent.com/Tozivn/futurelove/main/19_Christmas%20%20face7/img33.jpg,0,27,0,0,0,0,CM	
4,DDC,Christmas Day,https://raw.githubusercontent.com/Tozivn/futurelove/main/19_Christmas%20%20face7/img34.jpg,https://raw.githubusercontent.com/Tozivn/futurelove/main/19_Christmas%20%20face7/img34.jpg,0,22,0,0,0,0,CM	
5,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/19_Christmas%20%20face7/img37.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/19_Christmas%20%20face7/img37.jpg?raw=true,0,22,0,0,0,0,CM	
6,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/19_Christmas%20%20face7/img42.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/19_Christmas%20%20face7/img42.jpg?raw=true,0,23,0,0,0,0,CM	
7,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/19_Christmas%20%20face7/img43.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/19_Christmas%20%20face7/img43.jpg?raw=true,0,21,0,0,0,0,CM	
8,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/19_Christmas%20%20face7/img46.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/19_Christmas%20%20face7/img46.jpg?raw=true,0,21,0,0,0,0,CM	
9,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/19_Christmas%20%20face7/img49.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/19_Christmas%20%20face7/img49.jpg?raw=true,0,22,0,0,0,0,CM	
10,DDC,Christmas Day,https://github.com/Tozivn/futurelove/blob/main/19_Christmas%20%20face7/img50.jpg?raw=true,https://github.com/Tozivn/futurelove/blob/main/19_Christmas%20%20face7/img50.jpg?raw=true,0,19,0,0,0,0,CM	
